_key,name,lat,lon
49,Av. Delicias (fte. Pza. Toros),39.48026665799884,-6.374651368166168
50,Av. Heroes de Baler (fte. 5),39.481770566802936,-6.367061566380506
51,Av. Heroes de Baler (fte 23),39.48354612943044,-6.365111216111674
52,Av. Heroes de Baler (junto Rda. Norte),39.48635793930078,-6.361982243835852
53,"Licenciado Juan Rodriguez Molina, 4",39.49041340043712,-6.358480378932166
54,"Licenciado Juan Rodriguez Molina, 74",39.4927567580123,-6.3597171339842
55,"Tomas Pulido, 36",39.494115270170994,-6.361223779024521
56,Jose Bermudo Mateos (cruce Manuel Castillo),39.494114496397074,-6.363967871711417
57,Ana Mariscal (cruce c/ Gonzalo Mingo),39.491670812694686,-6.363071926721612
58,Plaza de America (parada taxis),39.4686354068744,-6.379401012778348
59,General Primo de Rivera (Multiples),39.47232398445148,-6.378379133742935
60,"Av. Hernan Cortes, 36",39.47619577654167,-6.379489145308932
61,Av. Universidad (fte. Diocesano),39.481371939412,-6.366565095437265
62,Av. Universidad (Gasolinera),39.481827365097715,-6.363606697035522
63,Av. Universidad (fte. Empresariales),39.480649224523575,-6.357745638713976
64,Av. Universidad (Residencia Asistida),39.47663635848125,-6.340983998334613
65,Centro Penitenciario,39.47328433954607,-6.3385893172336445
66,Av. Universidad (Universidad Laboral),39.47873482574729,-6.352796205762321
67,Av. Universidad (Empresariales),39.481421946329725,-6.358448771119026
68,"Av. Universidad, 25 (Urb. Las Candelas)",39.482163420575674,-6.362536089471863
69,"Av. Universidad, 1 (Colegio Diocesano)",39.48155538280611,-6.366709301396525
70,Campus (fte. a Veterinaria),39.47938273978404,-6.345261940752108
71,Campus (Politecnica),39.479683776995934,-6.341879255063473
72,Campus (Derecho),39.478957285331504,-6.338477606152006
73,Campus (fte. a Politecnica),39.47997579088095,-6.3420425068747175
74,Campus (Veterinaria),39.479480974319046,-6.3456185760626695
75,Tunez (fte. Estacion de autobuses),39.460517431265,-6.382553021874116
77,"Av. Juan Pablo II, 116 (Peugeot)",39.450658954878776,-6.382027684647261
78,Recinto Ferial,39.44146096176637,-6.376435182068031
79,Estacion I.T.V.,39.43708350287913,-6.374078424436886
80,Urb. Ceres Golf (vuelta),39.43320615736671,-6.372725461785898
81,CEFOT,39.43040094393586,-6.365407770097129
82,Valdesalor,39.37804276890026,-6.3464490750019165
83,Urb. Ceres Golf (ida),39.43330325239372,-6.3730354785835095
86,Tunez (Estacion de autobuses),39.46049419815688,-6.382321456418983
87,P. Capellanias (C. Segur. Laboral),39.48700904909249,-6.414194349670177
91,"Carlos Callejo, (cruce Miguel Serrano)",39.469494993966435,-6.396803731565709
92,Av. de las Arenas (Carrefour),39.468848295774656,-6.395281956111492
93,Londres (Colegio Ldos. Reunidos),39.46915604450113,-6.391330183167125
94,Londres (C.C. Ruta de la Plata),39.468002072384884,-6.388083971137968
97,"Av. Antonio Hurtado,32 (frente a Las Torres)",39.46435918752225,-6.375540145876716
98,Av. de Cervantes (fte. Resid. Ancianos),39.46221600915923,-6.373586831923866
99,"Av. Cervantes, 2",39.460476991919606,-6.371978698880959
100,Poligono Charca Musia,39.45322573730061,-6.366046145727704
101,Av. Cervantes (fte. Casa Cultura),39.45886134315421,-6.370249783592107
102,"Av. Cervantes, fte. num 2",39.4605450622614,-6.37180181016557
103,Av. de Cervantes (Resid. Ancianos),39.46210781087389,-6.3731841291697595
104,Av. Antonio Hurtado (Las Torres),39.46417741253283,-6.375070459216982
105,"Av. Antonio Hurtado,23 (cruce M. Sorapan)",39.46600002324283,-6.376791836762752
106,"Av. Virgen de Guadalupe,38",39.46819938684352,-6.385240551493232
107,Londres (frente a C.C. Ruta de la Plata),39.46831842109928,-6.388130251492942
108,Londres (fte. Colegio Ldos. Reunidos),39.46940599443353,-6.391227856754223
109,Carlos Callejo (frente n um 10),39.469304561013814,-6.396345900244816
110,"Claudio Rodriguez, 27",39.47153355484199,-6.397320519953933
113,Rotonda c/ Villuercas (ida),39.479868100874796,-6.401810865320416
115,"P. Capellanias, c/Molineros (Catelsa)",39.49010006661592,-6.41585868204605
116,"P. Capellanias, c/Molineros (Subus)",39.488878838647544,-6.420903361553889
117,"P. Capellanias, c/Labradores (cruce Herreros)",39.485575640261814,-6.422664741683748
121,Puente Vadillo (cruce Betania),39.47836558053028,-6.366678542410014
122,Ronda del Puente Vadillo,39.4758697518902,-6.365866012042174
124,"Concordia, 30",39.47414401310977,-6.36524532107555
125,Bum San Marquino,39.47293245375909,-6.366244209588884
126,Fuente Concejo,39.47278737216289,-6.368190864326247
129,Resid. El Arco (Colegio Fco. Aldana),39.47529634100822,-6.399202844698401
130,Libra impares (cruce C/ Escorpio),39.476002871283605,-6.3953520812897215
131,Libra impares (cruce C/ Osa Mayor),39.475115890586494,-6.39275809556912
132,"A.D. Bustamante, 1",39.47207259644632,-6.388419867473184
134,Plaza de los Conquistadores (cruce Av. Brocense),39.46898670841527,-6.373413491568908
135,"Rda. S. Francisco, 4 (cruce c/Romero Ruiz)",39.46905494876504,-6.369261434373466
136,Rda. S. Francisco (Hospital S.P. Alcantara),39.46622220877264,-6.367892085270072
137,Av. Hispanidad (Juzgados),39.46259023162261,-6.368226571361622
138,Av. Hispanidad (frente num 37),39.461717717046774,-6.371071977732843
